type_dossier,cumul_crd_immo,nbr_credit_immo,cumul_crd_conso,nbr_credit_conso,nbr_enfants,emprunteur_salaire,coemprunteur_salaire,emprunteur.situation_familiale.libelle,emprunteur.intitule,emprunteur.allocation_familiale,emprunteur.anciennete,emprunteur.dette_divers.retard_loyer,emprunteur.dette_divers.retard_impot,emprunteur.dette_divers.decouvert,emprunteur.charge.loyer,emprunteur.charge.charge_courante,emprunteur.complement.tresorerie,emprunteur.complement_banque.huissier,emprunteur.nombre_rejets,emprunteur.estimation_retraite,coemprunteur.situation_familiale.libelle,coemprunteur.intitule,coemprunteur.allocation_familiale,coemprunteur.anciennete,coemprunteur.nombre_rejets,coemprunteur.estimation_retraite,est_encaisse,emprunteur_subventions,coemprunteur_subventions,type_contrat_menage,CategorieDPT,age_cat,co_age_cat
locataire,0.0,0.0,20001.0,3.0,0,3500.0,0.0,Divorcé(e),Monsieur,0.0,1.0,0.0,0.0,0.0,1000.0,0.0,3000.0,False,0,41.666666666666664,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,2,70+,10
locataire,0.0,0.0,65001.0,3.0,1,2000.0,0.0,Célibataire,Monsieur,0.0,8.0,0.0,0.0,0.0,700.0,0.0,0.0,False,0,190.47619047619045,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,3,60-65,10
proprietaire,0.0,0.0,51500.0,5.0,2,3300.0,0.0,Marié(e),Monsieur,0.0,17.0,0.0,0.0,0.0,900.0,0.0,15000.0,False,0,667.8571428571429,Marié(e),Madame,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,40-45,5
proprietaire,0.0,0.0,21126.51,3.0,3,2757.28,0.0,Marié(e),Monsieur,0.0,8.0,0.0,0.0,0.0,1.0,0.0,7000.0,False,0,262.59809523809525,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,35-40,10
proprietaire,250000.0,1.0,27500.0,4.0,0,1650.0,0.0,Marié(e),Monsieur,0.0,1.0,0.0,0.0,0.0,900.0,0.0,5000.0,False,0,19.642857142857142,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,40-45,10
locataire,0.0,0.0,41667.0,3.0,0,1650.0,0.0,Célibataire,Madame,0.0,8.0,0.0,0.0,0.0,687.0,0.0,0.0,False,0,157.14285714285714,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,25-30,10
proprietaire,140000.0,1.0,22000.0,1.0,1,4000.0,0.0,Célibataire,Monsieur,0.0,3.0,0.0,0.0,0.0,1000.0,0.0,30000.0,False,0,142.85714285714286,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,55-60,10
proprietaire,219000.0,1.0,21300.0,3.0,2,3600.0,0.0,Marié(e),Monsieur,0.0,1.0,0.0,0.0,0.0,630.0,0.0,5000.0,False,0,42.857142857142854,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,30-35,10
proprietaire,0.0,0.0,6000.0,2.0,0,3000.0,0.0,Marié(e),Madame,0.0,1.0,0.0,0.0,0.0,900.0,0.0,25000.0,False,0,35.714285714285715,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,TNS,2,60-65,10
proprietaire,61050.0,2.0,47400.0,3.0,1,1916.66,1833.33,Marié(e),Monsieur,0.0,20.0,0.0,970.0,600.0,0.0,0.0,20000.0,False,12,456.34761904761905,Marié(e),Monsieur,0.0,10.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,45-50,6
proprietaire,0.0,0.0,38131.0,3.0,3,1080.0,2500.0,Concubins,Monsieur,148.52,0.0,0.0,0.0,350.0,0.0,0.0,10000.0,False,0,0.0,Concubins,Madame,0.0,3.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,40-45,3
proprietaire,75000.0,1.0,15000.0,2.0,2,2300.0,0.0,Marié(e),Madame,0.0,17.0,0.0,0.0,0.0,1000.0,0.0,5000.0,False,0,465.4761904761905,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,1,40-45,10
proprietaire,150000.0,2.0,26518.0,2.0,0,2333.33,0.0,Célibataire,Monsieur,0.0,3.0,0.0,0.0,0.0,1.0,0.0,10000.0,False,0,83.33321428571428,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,encaisse,0.0,0.0,CDI,2,25-30,10
proprietaire,0.0,0.0,57430.0,5.0,0,4900.0,0.0,Marié(e),Monsieur,0.0,11.0,0.0,0.0,0.0,1.0,0.0,50000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,RETRAITE,2,70+,10
proprietaire,50000.0,1.0,75000.0,3.0,0,2200.0,0.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,1000.0,0.0,5000.0,False,0,26.19047619047619,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,55-60,10
proprietaire,75000.0,1.0,1785.0,1.0,0,1750.0,0.0,Célibataire,Monsieur,0.0,8.0,0.0,0.0,0.0,1000.0,0.0,10000.0,False,0,166.66666666666666,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,25-30,10
proprietaire,0.0,0.0,15000.0,2.0,0,1960.0,0.0,Célibataire,Monsieur,0.0,2.0,0.0,0.0,1100.0,0.0,0.0,8000.0,False,0,46.666666666666664,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,60-65,10
proprietaire,130500.0,1.0,16500.0,3.0,0,3978.0,0.0,Célibataire,Monsieur,0.0,4.0,0.0,0.0,1300.0,900.0,0.0,3000.0,False,0,189.42857142857142,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,encaisse,0.0,0.0,CDI,2,35-40,10
proprietaire,0.0,0.0,80000.0,2.0,0,1500.0,1800.0,Marié(e),Madame,0.0,2.0,0.0,0.0,0.0,630.0,0.0,75000.0,False,0,35.714285714285715,Marié(e),Monsieur,0.0,4.0,0.0,0.0,non_encaisse,0.0,186.0,RETRAITE,2,70+,8
locataire,0.0,0.0,28753.0,5.0,0,3776.0,0.0,Divorcé(e),Monsieur,0.0,0.0,3800.0,0.0,1700.0,991.0,0.0,10000.0,False,1,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,RETRAITE,3,70+,10
locataire,0.0,0.0,35600.0,8.0,0,2400.0,0.0,Célibataire,Madame,0.0,33.0,0.0,0.0,700.0,704.0,0.0,900.0,False,0,942.8571428571429,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,3,55-60,10
proprietaire,0.0,0.0,29523.0,3.0,0,1650.0,1575.0,Marié(e),Madame,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20000.0,False,0,78.57142857142857,Marié(e),Monsieur,0.0,35.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,70+,8
proprietaire,24000.0,1.0,20400.0,2.0,0,8000.0,0.0,Célibataire,Monsieur,0.0,1.0,0.0,0.0,0.0,630.0,0.0,5000.0,False,0,95.23809523809523,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,0,70+,10
locataire,0.0,0.0,42100.0,3.0,1,2200.0,0.0,Séparé(e),Monsieur,0.0,24.0,0.0,0.0,500.0,0.0,0.0,3000.0,False,0,628.5714285714286,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,50-55,10
proprietaire,241486.0,1.0,53250.0,3.0,3,2329.91,2411.0,Célibataire,Monsieur,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50000.0,False,0,693.4255952380952,Célibataire,Monsieur,0.0,20.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,50-55,5
proprietaire,154698.0,1.0,38635.55,6.0,3,1860.0,2100.0,Marié(e),Madame,0.0,8.0,0.0,0.0,6929.0,0.0,0.0,5000.0,False,0,177.14285714285714,Marié(e),Monsieur,0.0,21.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,50-55,5
proprietaire,190000.0,2.0,17500.0,4.0,0,4983.0,0.0,Célibataire,Monsieur,0.0,2.5,0.0,0.0,2500.0,0.0,0.0,10000.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,30-35,10
proprietaire,58100.38,1.0,104158.47,11.0,1,2798.33,0.0,Marié(e),Madame,0.0,40.0,0.0,0.0,1800.0,0.0,0.0,0.0,False,0,1332.5380952380951,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,INCONNU,2,60-65,10
proprietaire,307482.0,1.0,67090.0,4.0,2,2500.0,3100.0,Marié(e),Monsieur,148.52,1.0,0.0,0.0,1200.0,1000.0,0.0,3000.0,False,0,29.76190476190476,Marié(e),Monsieur,0.0,1.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,30-35,1
locataire,0.0,0.0,24279.0,7.0,2,2856.0,0.0,Célibataire,Madame,148.52,14.0,0.0,982.0,0.0,709.0,0.0,0.0,False,0,476.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,45-50,10
